CVE_DOC,FECHA_ENT,FECHA_VEN,CAN_TOT
F36243,2021-09-17,2021-09-24,1615.0
F36244,2021-09-17,2021-09-24,1615.0
F36245,2021-09-24,2021-09-24,284.53000000000003
F36246,2021-09-24,2021-10-09,534.5454
F36247,2021-09-27,2021-09-27,385.0
F36248,2021-09-27,2021-09-27,315.60560000000004
F36249,2021-09-24,2021-10-27,11355.000000000002
F36250,2021-09-27,2021-09-27,1350.0
F36251,2021-09-27,2021-09-27,1041.6
F36252,2021-09-24,2021-09-27,3270.59
F36253,2021-09-17,2021-09-27,11120.000000000002
F36254,2021-09-29,2021-09-27,3874.46
F36255,2021-09-27,2021-09-27,490.54
F36256,2021-09-28,2021-09-28,813.1025
F36257,2021-09-17,2021-09-28,2573.22
F36258,2021-09-28,2021-09-28,385.00000000000006
F36259,2021-09-27,2021-09-28,550.0
F36260,2021-09-27,2021-11-27,58469.4
F36261,2021-09-28,2021-09-28,899.6342
F36262,2021-09-28,2021-09-28,226.5328
F36263,2021-09-28,2021-09-28,350.00000000000006
F36264,2021-09-02,2021-09-28,1184.54
F36265,2021-09-28,2021-09-28,50.0
F36266,2021-09-28,2021-09-28,542.9682
F36267,2021-09-28,2021-09-28,49.00000000000001
F36268,2021-09-20,2021-10-28,5628.0
F36269,2021-09-28,2021-09-28,472.5
F36270,2021-09-28,2021-09-28,5034.57
F36271,2021-09-28,2021-09-29,6.0
F36272,2021-09-29,2021-09-29,5270.0
F36273,2021-09-29,2021-09-29,1890.0000000000002
F36274,2021-09-29,2021-09-29,720.0000000000001
F36275,2021-09-29,2021-09-29,1515.5
F36276,2021-09-29,2021-09-29,1425.0
F36277,2021-09-29,2021-09-29,1500.0
F36278,2021-09-29,2021-09-29,82.88000000000001
F36279,2021-09-29,2021-09-29,373.2273
F36280,2021-09-28,2021-09-29,4470.59
F36281,2021-09-29,2021-09-29,3907.7000000000003
F36282,2021-09-29,2021-09-29,448.00000000000006
F36283,2021-09-28,2021-09-29,12130.000000000002
F36284,2021-09-29,2021-10-07,114097.66999999993
F36285,2021-09-22,2021-09-30,2275.0
F36286,2021-09-30,2021-09-30,9445.980000000001
F36287,2021-09-29,2021-09-30,4830.200000000001
F36288,2021-09-30,2021-09-30,12841.050000000001
F36289,2021-09-29,2021-09-30,5166.0
F36290,2021-09-30,2021-10-15,269.18100000000004
F36291,2021-09-30,2021-09-30,822.07
F36292,2021-09-30,2021-09-30,1250.85
F36293,2021-09-17,2021-09-30,1420.7
F36294,2021-09-29,2021-09-30,975.2
F36295,2021-09-30,2021-09-30,1897.1070000000002
F36296,2021-10-19,2021-09-30,10820.8
F36297,2021-10-06,2021-09-30,1937.2300000000002
F36298,2021-10-04,2021-10-03,7900.000000000001
F36299,2021-09-30,2021-09-30,1873.8017000000002
F36300,2021-09-30,2021-09-30,12438.000000000002
F36301,2021-09-30,2021-09-30,822.0689000000001
F36302,2021-09-30,2021-09-30,2571.2000000000003
F36303,2021-09-30,2021-09-30,3348.0000000000005
F36304,2021-09-30,2021-09-30,740.6
F36305,2021-09-30,2021-09-30,556.0344
F36306,2021-09-30,2021-09-30,7241.0
F36307,2021-09-30,2021-09-30,8951.16
F36308,2021-09-30,2021-09-30,942.0
F36309,2021-09-30,2021-09-30,1285.595
F36310,2021-09-30,2021-09-30,2482.29
F36311,2021-09-30,2021-09-30,1890.0
F36312,2021-09-30,2021-09-30,305.0
F36313,2021-09-30,2021-09-30,2439.2241
F36314,2021-09-30,2021-09-30,982.758
F36315,2021-09-07,2021-10-19,2732.5
F36316,2021-09-29,2021-11-03,4650.0
F36317,2021-10-04,2021-11-03,964.4490000000001
F36318,2021-10-04,2021-10-04,341.55
F36319,2021-10-04,2021-10-04,1050.0
F36320,2021-09-28,2021-11-03,3569.523
F36321,2021-09-30,2021-11-03,5700.000000000001
F36322,2021-10-04,2021-10-19,2720.0
F36323,2021-10-04,2021-10-04,3144.84
F36324,2021-10-04,2021-10-04,3109.83
F36325,2021-10-05,2021-10-05,2470.0280000000002
F36326,2021-10-05,2021-10-05,9585.900000000001
F36327,2021-10-08,2021-10-05,1285.6000000000001
F36328,2021-10-05,2021-10-05,183.7
F36329,2021-09-28,2021-10-20,1210.0
F36330,2021-10-05,2021-10-05,506.90000000000003
F36331,2021-10-05,2021-10-05,390.00000000000006
F36332,2021-10-05,2021-10-20,1304.0
F36333,2021-10-05,2021-10-05,1137.5
F36334,2021-10-07,2021-10-05,1255.2
F36335,2021-10-05,2021-11-04,10863.6
F36336,2021-10-05,2021-11-04,6243.6
F36337,2021-10-05,2021-11-04,10863.6
F36338,2021-08-27,2021-10-05,1799.8500000000001
F36339,2021-09-29,2021-10-05,3747.6000000000004
F36340,2021-10-05,2021-10-05,1799.85
F36341,2021-10-05,2021-10-05,375.00000000000006
F36342,2021-10-04,2021-10-05,810.0000000000001
F36343,2021-10-05,2021-10-05,1391.8625000000002
F36344,2021-10-08,2021-10-06,1283.8
F36345,2021-10-06,2021-10-06,159.49
F36346,2021-10-06,2021-10-06,2656.5
F36347,2021-10-06,2021-10-06,267.27270000000004
F36348,2021-10-06,2021-10-06,825.0000000000001
F36349,2021-10-06,2021-10-06,343.636
F36350,2021-10-06,2021-10-06,3848.4534000000003
F36351,2021-10-06,2021-10-21,3356.2200000000003
F36352,2021-10-06,2021-10-06,819.575
F36353,2021-10-06,2021-10-06,637.5006000000001
F36354,2021-10-07,2021-10-07,441.79
F36355,2021-10-07,2021-10-07,999.9068
F36356,2021-10-07,2021-10-07,5875.01
F36357,2021-10-07,2021-10-07,1180.0
F36358,2021-09-22,2021-10-07,1285.0
F36359,2021-10-07,2021-11-21,1200.0
F36360,2021-10-07,2021-10-07,3104.809
F36361,2021-10-07,2021-10-07,2715.09
F36362,2021-10-07,2021-10-07,1350.0
F36363,2021-10-08,2021-10-07,4559.0
F36364,2021-10-08,2021-11-06,17703.600000000002
F36365,2021-10-07,2021-10-07,369.6
F36366,2021-10-08,2021-11-06,2280.0
F36367,2021-10-08,2021-11-22,1200.0
F36368,2021-10-07,2021-10-08,2290.0
F36369,2021-08-20,2021-11-07,4500.0
F36370,2021-10-11,2021-11-07,12300.000000000002
F36371,2021-10-08,2021-10-08,6460.000000000001
F36372,2021-10-08,2021-10-08,5537.246
F36373,2021-10-15,2021-10-08,14482.000000000002
F36374,2021-10-11,2021-10-08,12438.000000000002
F36375,2021-10-08,2021-10-08,2943.0000000000005
F36376,2021-10-08,2021-10-08,267.25
F36377,2021-10-08,2021-10-08,1230.0
F36378,2021-09-29,2021-10-08,1646.0000000000002
F36379,2021-10-08,2021-10-08,385.25
F36380,2021-10-08,2021-10-08,3916.5860000000002
F36381,2021-10-08,2021-10-08,996.5
F36382,2021-10-08,2021-10-08,199.49
F36383,2021-10-07,2021-11-10,1810.86
F36384,2021-10-11,2021-10-11,267.27000000000004
F36385,2021-10-11,2021-10-11,82.6457
F36386,2021-10-11,2021-10-26,1933.6899999999998
